id_individual,Sex_1_0,Haplotype,Number_sightings,Av_water_depth,Av_group_size,Sponger,Demons_sponging_forage,Sp_Order_acquisition,Mum_known,Not_weaned
GEN,0,NA,7,12.75714286,3,no,NA,NA,no,0
GER,0,NA,1,1.1,4,no,NA,NA,yes,0
GHA,0,NA,2,4.95,12,no,NA,NA,no,0
GHO,-0.5,NA,1,7.7,2,no,NA,NA,no,0
GIA,-0.5,NA,7,13.41428571,5.714285714,no,NA,NA,no,0
GIB,0,NA,1,5.1,14,no,NA,NA,no,0
GIF,0,NA,4,8.925,7.25,no,NA,NA,no,0
GIN,-0.5,NA,18,13.03888889,2.777777778,yes,yes,15,no,0
GIR,0.5,H,19,7.684210526,8,no,NA,NA,no,0
GIS,0,NA,7,10.48571429,3.428571429,no,NA,NA,no,0
GLE,0.5,E,49,13.61041667,8.081632653,no,NA,NA,no,0
GMP,-0.5,E,11,5.990909091,6.545454545,no,NA,NA,no,0
GNA,0,NA,1,7.7,2,no,NA,NA,no,0
GNL,0.5,H,52,3.562,4.961538462,no,NA,NA,no,0
GNT,0,NA,8,2.1625,3.875,no,NA,NA,no,0
GOB,0,NA,1,14,2,no,NA,NA,yes,0
GOL,-0.5,NA,3,7.633333333,7.666666667,no,NA,NA,no,0
GOM,0,NA,3,11,7,no,NA,NA,no,0
GON,0,NA,1,5.8,4,no,NA,NA,yes,0
GOR,0,NA,5,8.74,9.8,no,NA,NA,no,0
GOY,0,NA,1,1.6,2,no,NA,NA,yes,0
GPA,0,NA,1,9.8,10,no,NA,NA,yes,0
GRA,0,NA,1,11.2,4,no,NA,NA,yes,0
GRE,0.5,H,56,3.638888889,5.303571429,no,NA,NA,no,0
GRI,0,NA,3,3.433333333,7,no,NA,NA,no,0
GRO,0,NA,13,9.884615385,5,no,NA,NA,no,0
GRU,0,NA,4,7.3,8.25,no,NA,NA,yes,0
GUA,0,NA,8,12.3875,2.25,no,NA,NA,yes,0
GUD,0,NA,1,3.8,7,no,NA,NA,no,0
GUI,-0.5,E,32,13.59375,2.875,yes,yes,16,no,0
GUS,0.5,E,40,4.951282051,5.475,no,NA,NA,yes,0
GVY,0.5,E,52,6.561538462,3.903846154,no,NA,NA,no,0
GWE,0,NA,2,13.1,2,no,NA,NA,yes,0
HAL,0,NA,1,11.5,3,no,NA,NA,no,0
HAM,0.5,F,39,13.4,7.692307692,no,NA,NA,no,0
HAN,0,NA,7,10.08571429,7.857142857,no,NA,NA,no,0
HAR,0,NA,2,5.45,11,no,NA,NA,yes,0
HAS,-0.5,E,5,3.82,6.6,no,NA,NA,no,0
HAT,0,NA,1,11.3,3,no,NA,NA,no,0
HAV,-0.5,E,24,14.05416667,2.833333333,yes,no,69,yes,0
HAW,0,NA,3,7.633333333,7.666666667,no,NA,NA,yes,0
HAY,0,NA,4,7.175,6.25,no,NA,NA,no,0
HAZ,0,NA,13,14.17692308,2.230769231,no,NA,NA,yes,0
HEA,-0.5,E,27,12.77777778,5.074074074,no,NA,NA,yes,0
HEE,0,NA,2,0.75,4.5,no,NA,NA,yes,0
HEI,0,NA,2,8.4,9,no,NA,NA,no,0
HEL,0,NA,4,1.45,2.75,no,NA,NA,yes,0
HEN,0,NA,13,11.75384615,6,no,NA,NA,no,0
HER,0,NA,4,11.875,6.75,no,NA,NA,no,0
HFF,0,NA,22,2.904545455,5.863636364,no,NA,NA,yes,1
HIE,-0.5,NA,1,8.2,2,no,NA,NA,no,0
HIL,0,NA,3,6.166666667,3.333333333,no,NA,NA,no,0
